numero;arquivo;pagina_destino;texto_principal;titulo;descricao;botao_cta
14;14-baixo-versatilidade-mk-300.png;https://mvave.com.br/bass/;"Do caráter vintage ao grave moderno, explore diferentes caixas e respostas. São 2.100+ IRs para descobrir seu som.";"Do vintage ao moderno";"Encontre seu grave.";"Saiba mais"
15;15-baixo-grave-fundamental-ir-box.png;https://mvave.com.br/bass/;"Compare IRs sem perder o fundamento do instrumento. Explore 2.100+ opções para construir um baixo encorpado e definido.";"Preserve o grave fundamental";"Acesso vitalício ao pack.";"Saiba mais"
16;16-baixo-mix-tank-b.png;https://mvave.com.br/bass/;"Um bom timbre de baixo precisa funcionar junto com a banda. Teste 2.100+ IRs e encontre opções que apareçam melhor na mix.";"Faça seu baixo aparecer na mix";"Pack pronto para download.";"Saiba mais"
17;17-baixo-pack-cube-baby-bass.png;https://mvave.com.br/bass/;"Muitas caixas e possibilidades em um só pack. Receba 2.100+ IRs para baixo, arquivos organizados e aulas de instalação.";"Muitas caixas. Um só pack.";"Arquivos organizados + aulas.";"Saiba mais"
18;18-baixo-garantia-annblack-box.png;https://mvave.com.br/bass/;"Ouça os resultados no seu baixo e no seu equipamento. Explore 2.100+ IRs com garantia de 7 dias.";"Teste no seu equipamento";"Compra protegida por 7 dias.";"Saiba mais"
19;19-baixo-acesso-mk-300.png;https://mvave.com.br/bass/;"Baixou, instalou, tocou. Tenha acesso imediato a 2.100+ IRs para baixo e comece a comparar seus favoritos.";"Comece a tocar hoje";"Download e acesso imediatos.";"Saiba mais"
20;20-baixo-oferta-tank-b.png;https://mvave.com.br/bass/;"Amplie as possibilidades do seu baixo sem trocar de equipamento. Leve 2.100+ IRs por R$ 19,90, com acesso vitalício.";"Pack de baixo por R$ 19,90";"2.100+ IRs com acesso vitalício.";"Saiba mais"
21;21-violao-quantidade-cube-baby-ac.png;https://mvave.com.br/violao/;"Mais madeira, corpo e naturalidade no som em linha. Explore 220+ IRs para violão de aço e nylon.";"220+ IRs para violão";"Acesso imediato ao pack.";"Saiba mais"
22;22-violao-piezo-cube-baby-ac.png;https://mvave.com.br/violao/;"O captador piezo pode soar duro e sem profundidade. Teste 220+ IRs para buscar um som de violão mais natural em linha.";"Seu violão pode soar mais natural";"IRs prontos para testar.";"Saiba mais"
23;23-violao-madeira-ir-box.png;https://mvave.com.br/violao/;"Devolva sensação de madeira e corpo ao sinal direto. Explore 220+ IRs criados para violões de aço e nylon.";"Mais madeira no som em linha";"Acesso vitalício ao pack.";"Saiba mais"
24;24-violao-organizacao-annblack-box.png;https://mvave.com.br/violao/;"Aço e nylon em uma biblioteca fácil de explorar. Receba 220+ IRs para violão, arquivos organizados e aulas de instalação.";"Tudo organizado para seu violão";"Arquivos + aulas de instalação.";"Saiba mais"
25;25-violao-aco-nylon-mk-300.png;https://mvave.com.br/violao/;"Do brilho das cordas de aço à suavidade do nylon. Compare 220+ IRs e encontre o som natural que combina com seu instrumento.";"Do aço ao nylon";"Encontre seu som natural.";"Saiba mais"
26;26-violao-som-em-linha-cube-baby-ac.png;https://mvave.com.br/violao/;"Busque no som em linha uma sensação mais próxima de um violão microfonado. Explore 220+ IRs e compare no seu equipamento.";"Mais naturalidade no som em linha";"Pack pronto para download.";"Saiba mais"
27;27-violao-garantia-annblack-box.png;https://mvave.com.br/violao/;"Ouça os IRs no seu próprio violão e decida com tranquilidade. São 220+ opções com garantia de 7 dias.";"Ouça no seu próprio violão";"Compra protegida por 7 dias.";"Saiba mais"
28;28-violao-oferta-cube-baby-ac.png;https://mvave.com.br/violao/;"Transforme as possibilidades do seu som em linha. Leve 220+ IRs para violão por R$ 19,90, com acesso vitalício.";"220+ IRs por R$ 19,90";"Acesso imediato e vitalício.";"Saiba mais"
29;29-violao-acesso-ir-box.png;https://mvave.com.br/violao/;"Baixe hoje e comece a testar no seu violão hoje. Receba acesso imediato a 220+ IRs para aço e nylon.";"Baixe hoje. Toque hoje.";"Acesso imediato ao pack.";"Saiba mais"
30;30-violao-variedade-cube-baby-ac.png;https://mvave.com.br/violao/;"Explore referências inspiradas em diferentes violões, incluindo Gibson, Martin e Taylor. São 220+ IRs para encontrar seus favoritos.";"Gibson, Martin, Taylor e mais";"Compare e encontre seu favorito.";"Saiba mais"
31;31-completo-quantidade-tres-instrumentos.png;https://mvave.com.br/completo/;"Guitarra, baixo e violão reunidos em uma única coleção. Tenha 13.000+ IRs organizados em um só acesso.";"13.000+ IRs em um só pack";"Três instrumentos. Um só acesso.";"Saiba mais"
32;32-completo-organizacao.png;https://mvave.com.br/completo/;"Pare de procurar arquivos soltos e comece a tocar. O pack completo reúne 13.000+ IRs organizados para guitarra, baixo e violão.";"Pare de procurar. Comece a tocar.";"Acesso imediato à coleção.";"Saiba mais"
33;33-completo-cube-baby-familia.png;https://mvave.com.br/completo/;"Um pack para cada instrumento dentro da mesma biblioteca. Explore 13.000+ IRs para guitarra, baixo e violão.";"Um pack para cada instrumento";"Guitarra, baixo e violão.";"Saiba mais"
34;34-completo-compatibilidade.png;https://mvave.com.br/completo/;"Seu equipamento pode oferecer muito mais possibilidades. Receba 13.000+ IRs organizados, além de aulas para ajudar na instalação.";"Seu equipamento. Mais timbres.";"13.000+ arquivos + aulas.";"Saiba mais"
35;35-completo-eletrico-acustico.png;https://mvave.com.br/completo/;"Do elétrico ao acústico, tenha uma biblioteca para diferentes instrumentos e situações. São 13.000+ IRs com acesso vitalício.";"Do elétrico ao acústico";"Tudo reunido em um só pack.";"Saiba mais"
36;36-completo-oferta.png;https://mvave.com.br/completo/;"Leve a coleção completa para guitarra, baixo e violão. São 13.000+ IRs por R$ 67, com acesso vitalício.";"Pack completo por R$ 67";"13.000+ IRs em um só acesso.";"Saiba mais"
37;37-completo-garantia.png;https://mvave.com.br/completo/;"Teste a coleção no seu próprio equipamento. O pack completo reúne 13.000+ IRs e conta com garantia de 7 dias.";"Teste o pack completo";"Compra protegida por 7 dias.";"Saiba mais"
38;38-completo-tempo.png;https://mvave.com.br/completo/;"Menos tempo procurando arquivos. Mais tempo escolhendo timbres e tocando. Tenha 13.000+ IRs organizados em uma só biblioteca.";"Mais tempo tocando";"13.000+ IRs organizados.";"Saiba mais"
39;39-completo-tres-instrumentos.png;https://mvave.com.br/completo/;"Três instrumentos, uma única biblioteca. Explore 13.000+ IRs para guitarra, baixo e violão e encontre seus favoritos.";"3 instrumentos. 1 biblioteca.";"Baixe e comece a explorar.";"Saiba mais"
40;40-completo-colecao.png;https://mvave.com.br/completo/;"Uma coleção ampla para explorar timbres de guitarra, baixo e violão. Receba 13.000+ arquivos com acesso imediato e vitalício.";"A coleção completa de IRs";"Acesso imediato e vitalício.";"Saiba mais"
