produto_novo,arquivo_novo,caminho_novo,arquivo_original,caminho_original,categoria,observacao
Bass Essentials,V4B Custom.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/bass-essentials/arquivos/Ampeg/V4B Custom.zip,V4B Custom.zip,downloads/arquivos/Por modelo/Baixo/Ampeg/V4B Custom.zip,Baixo,Copia integral; SHA-256 igual ao original.
Complete Essentials,V4B Custom.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Baixo/Ampeg/V4B Custom.zip,V4B Custom.zip,downloads/arquivos/Por modelo/Baixo/Ampeg/V4B Custom.zip,Baixo,Copia independente; SHA-256 igual ao original.
Bass Essentials,ABM BP150.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/bass-essentials/arquivos/Ashdown/ABM BP150.zip,ABM BP150.zip,downloads/arquivos/Por modelo/Baixo/Ashdown/ABM BP150.zip,Baixo,Copia integral; SHA-256 igual ao original.
Complete Essentials,ABM BP150.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Baixo/Ashdown/ABM BP150.zip,ABM BP150.zip,downloads/arquivos/Por modelo/Baixo/Ashdown/ABM BP150.zip,Baixo,Copia independente; SHA-256 igual ao original.
Bass Essentials,GK Collection.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/bass-essentials/arquivos/Gallien-Krueger/GK Collection.zip,GK Collection.zip,downloads/arquivos/Por modelo/Baixo/Gallien-Krueger/GK Collection.zip,Baixo,Copia integral; SHA-256 igual ao original.
Complete Essentials,GK Collection.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Baixo/Gallien-Krueger/GK Collection.zip,GK Collection.zip,downloads/arquivos/Por modelo/Baixo/Gallien-Krueger/GK Collection.zip,Baixo,Copia independente; SHA-256 igual ao original.
Bass Essentials,PowerHouse.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/bass-essentials/arquivos/Mesa-Boogie/PowerHouse.zip,PowerHouse.zip,downloads/arquivos/Por modelo/Baixo/Mesa-Boogie/PowerHouse.zip,Baixo,Copia integral; SHA-256 igual ao original.
Complete Essentials,PowerHouse.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Baixo/Mesa-Boogie/PowerHouse.zip,PowerHouse.zip,downloads/arquivos/Por modelo/Baixo/Mesa-Boogie/PowerHouse.zip,Baixo,Copia independente; SHA-256 igual ao original.
Bass Essentials,115BX.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/bass-essentials/arquivos/Peavey/115BX.zip,115BX.zip,downloads/arquivos/Por modelo/Baixo/Peavey/115BX.zip,Baixo,Copia integral; SHA-256 igual ao original.
Complete Essentials,115BX.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Baixo/Peavey/115BX.zip,115BX.zip,downloads/arquivos/Por modelo/Baixo/Peavey/115BX.zip,Baixo,Copia independente; SHA-256 igual ao original.
Bass Essentials,T-25.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/bass-essentials/arquivos/Vox/T-25.zip,T-25.zip,downloads/arquivos/Por modelo/Baixo/Vox/T-25.zip,Baixo,Copia integral; SHA-256 igual ao original.
Complete Essentials,T-25.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Baixo/Vox/T-25.zip,T-25.zip,downloads/arquivos/Por modelo/Baixo/Vox/T-25.zip,Baixo,Copia independente; SHA-256 igual ao original.
Bass Essentials,cube-baby-bass.webp,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/bass-essentials/imagens/cube-baby-bass.webp,cube-baby-bass.webp,assets/img/equipment/cube-baby-bass.webp,imagem do acervo,Imagem real ja existente no projeto.
Acoustic Essentials,Acoustic Shapes.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/acoustic-essentials/arquivos/Coleção D-TAR/Acoustic Shapes.zip,Acoustic Shapes.zip,downloads/arquivos/Por modelo/Violão/Coleção D-TAR/Acoustic Shapes.zip,Violao,Copia integral; SHA-256 igual ao original.
Complete Essentials,Acoustic Shapes.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Violao/Coleção D-TAR/Acoustic Shapes.zip,Acoustic Shapes.zip,downloads/arquivos/Por modelo/Violão/Coleção D-TAR/Acoustic Shapes.zip,Violao,Copia independente; SHA-256 igual ao original.
Acoustic Essentials,D2H e OM2HA.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/acoustic-essentials/arquivos/Collings/D2H e OM2HA.zip,D2H e OM2HA.zip,downloads/arquivos/Por modelo/Violão/Collings/D2H e OM2HA.zip,Violao,Copia integral; SHA-256 igual ao original.
Complete Essentials,D2H e OM2HA.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Violao/Collings/D2H e OM2HA.zip,D2H e OM2HA.zip,downloads/arquivos/Por modelo/Violão/Collings/D2H e OM2HA.zip,Violao,Copia independente; SHA-256 igual ao original.
Acoustic Essentials,J-45.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/acoustic-essentials/arquivos/Gibson/J-45.zip,J-45.zip,downloads/arquivos/Por modelo/Violão/Gibson/J-45.zip,Violao,Copia integral; SHA-256 igual ao original.
Complete Essentials,J-45.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Violao/Gibson/J-45.zip,J-45.zip,downloads/arquivos/Por modelo/Violão/Gibson/J-45.zip,Violao,Copia independente; SHA-256 igual ao original.
Acoustic Essentials,HD-28.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/acoustic-essentials/arquivos/Martin/HD-28.zip,HD-28.zip,downloads/arquivos/Por modelo/Violão/Martin/HD-28.zip,Violao,Copia integral; SHA-256 igual ao original.
Complete Essentials,HD-28.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Violao/Martin/HD-28.zip,HD-28.zip,downloads/arquivos/Por modelo/Violão/Martin/HD-28.zip,Violao,Copia independente; SHA-256 igual ao original.
Acoustic Essentials,Violão clássico e Nylon Essentials.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/acoustic-essentials/arquivos/Nylon/Violão clássico e Nylon Essentials.zip,Violão clássico e Nylon Essentials.zip,downloads/arquivos/Por modelo/Violão/Nylon/Violão clássico e Nylon Essentials.zip,Violao,Copia integral; SHA-256 igual ao original.
Complete Essentials,Violão clássico e Nylon Essentials.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Violao/Nylon/Violão clássico e Nylon Essentials.zip,Violão clássico e Nylon Essentials.zip,downloads/arquivos/Por modelo/Violão/Nylon/Violão clássico e Nylon Essentials.zip,Violao,Copia independente; SHA-256 igual ao original.
Acoustic Essentials,314ce.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/acoustic-essentials/arquivos/Taylor/314ce.zip,314ce.zip,downloads/arquivos/Por modelo/Violão/Taylor/314ce.zip,Violao,Copia integral; SHA-256 igual ao original.
Complete Essentials,314ce.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Violao/Taylor/314ce.zip,314ce.zip,downloads/arquivos/Por modelo/Violão/Taylor/314ce.zip,Violao,Copia independente; SHA-256 igual ao original.
Acoustic Essentials,cube-baby-ac.webp,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/acoustic-essentials/imagens/cube-baby-ac.webp,cube-baby-ac.webp,assets/img/equipment/cube-baby-ac.webp,imagem do acervo,Imagem real ja existente no projeto.
Complete Essentials,3-pedais-mvave.png,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/imagens/3-pedais-mvave.png,3 Pedais Mvave (cubebay).png,assets/img/3 Pedais Mvave (cubebay).png,imagem do acervo,Imagem real ja existente no projeto.
Modern Rock,Modern Rock.zip,downloads/arquivos/NOVOS-PRODUTOS/02-estilos/modern-rock/arquivos/Modern Rock.zip,Modern Rock.zip,downloads/arquivos/Por modelo/Guitarra/faIR/Modern Rock.zip,Guitarra - estilo comprovado pelo nome,Copia integral; SHA-256 igual ao original.
Modern Rock,ir-box.webp,downloads/arquivos/NOVOS-PRODUTOS/02-estilos/modern-rock/imagens/ir-box.webp,ir-box.webp,assets/img/equipment/ir-box.webp,imagem do acervo,Imagem real ja existente no projeto.
Post Grunge,Post Grunge.zip,downloads/arquivos/NOVOS-PRODUTOS/02-estilos/post-grunge/arquivos/Post Grunge.zip,Post Grunge.zip,downloads/arquivos/Por modelo/Guitarra/faIR/Post Grunge.zip,Guitarra - estilo comprovado pelo nome,Copia integral; SHA-256 igual ao original.
Post Grunge,tank-g.webp,downloads/arquivos/NOVOS-PRODUTOS/02-estilos/post-grunge/imagens/tank-g.webp,tank-g.webp,assets/img/equipment/tank-g.webp,imagem do acervo,Imagem real ja existente no projeto.
