"caminho","tamanho_bytes","sha256"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\1- Top 8 IR Pack.zip","55062","6DF26B0F8D7F6DD1E2CAB647649BA234F4E3BD9762B3DCCB8711933EC845FEC9"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\2- Top 7 IR Pack.zip","24015","DAAC595B4FD4FF08127E4D77495A654C9A6AD715EF7192E9C0E85932C7642EEB"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\AEmpulses_v1.zip","4489030","0990B19ADB285BD48C7653CF8FC9BA11847CE473A1FE45DDD820878EBA216B85"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Allston.zip","13358","FAE486D008BE92B3D20B1EE2BA20AEF25B04D94F1BEADAEAAAD261258ADC787D"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Bachatta IR.zip","175090","6C157404ADD3EEF2C59A25BE1C93EB5DA5362797C510EDD3592F7F899F81DBAB"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Behringer Ultra-G.zip","726749","0D5D16E267269F5550008F6CB491193496CDB981B8A718F46285247DBC2B39BC"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIrPack1.zip","328956","A6A7B4CC7A1610F54851B52024969D24EF1055534E4C22BD6490D4EF69D43A97"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIrPack2.zip","167169","76A7271348FED526A830367774B0E13E441F8351081BD31FE7C8EC0CAE7C021E"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack3.zip","230496","557E621984DA058D49438F329A9EBF234F7856F6FEFCE33D85925C0F7324A8BD"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack4.zip","461114","C4C1B7107D11A065D368F38F97A5325854E6145A402BEDEB6D6A46A3C4B9D517"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack5.zip","402197","8ECEAEF9BD095C683AE5870C8F02A884BAE95E47B0C8AC36875809B341C57016"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Boxboro.zip","10508","3206C6A1C5C8FA76F9676572B1349515CFF4CA66244FC7D4D213A67028BCE535"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Brighton.zip","2135","60C69E1FCC29458AA7507C9D62D805658CA7AB642E7BAE5FED2DBE5E862C9F8E"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Brockton.zip","8192","2D4CF1B9ACA245F8B7CEA1A83221D65AE3C1AFA42CFE4525DAAA29D4654779DA"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Cambridge.zip","8045","859B8F4389721B93B624B1D73886706CE7D80775EEA70D402D14B10E626FFE68"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Canton.zip","4463","5B9234818672457E1F4B05EC97114E59710FBF0549A0CF8FA8065BC8333F29FE"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Catharsis Fredman Impulses.zip","28492","2AAAB87BEEB4603B6F6675C52948B18ED444C3102F623EBFA0183D307DC81F0D"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Chelsea.zip","8646","C42CDEBDF25785E8BB2AFDA97F7C905C2CF3503B47887ED13623C28DA4E9B369"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Electrovoice 12.zip","100525","8D0DC3BA73548504804AAF805455BE3B3C6DB4CF77D42FB5ADF2EB23693B5005"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Electrovoice 4x12.zip","40516","A8B4716B5B1FD7784B6A0915E587342AB9DEDC1A599CE2F842BC216C12905A4A"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Fearcomplexmusic Impulses.zip","195178","C01FF41DC1397EB8BB74F7C693E1228931E677F7B3F1784184EAE657DE74DB55"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Fredman-Impulses.zip","414077","38C512A9D2E6ED2B385CAEEE90271CF3338EA495C8DB2EB658306C17DBCC951B"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Grafton.zip","15046","514E6372E7012DA1A799C43A2A831BD0604CF4BD331C97B2CE4D05067ABB070B"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Guitarhack Impulses.zip","360925","137F38FED5906BC5D43059F76AA7088DF94D4541E03B299F2D7AEA39DC193487"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\GuitarHacksImpulses.zip","810478","EEBB675F1D5796219836200680FDE08DBC479DF385C34CBB0D80F0817DD82B24"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Hannover.zip","8887","C8D4ABDCC8F54BE4A867299FF4BEF2BAD5F16E55254407E42D0DFFDFE1E5CD07"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Harvard.zip","9105","D54878383DD0459CC3F550BA809F9D72773253332519CCB5E52BD8D4FBFF1ED0"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\IR Clean forró.zip","14565","6AE3D195558F1196E5FC5C16BEC439F3F81CFAF35915C6AAC25F73F3E90E0DED"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Jensen 10 inch.zip","166430","5A3315FD9E903833C979596898A55D70BF66A65314631266AA882BAA521F17BB"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Kalthallen IRs.zip","1291944","2EBC9E57D3F44B8607206943472B6DFA255DD52F2652F0DB46FFC97CA0663E9B"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Leicester.zip","11902","CE8284D56E3638EEB4341011D4C4F5820649A14293E2995E8C6D06181C31CA2E"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Lincoln.zip","5593","8CFB3EF3ACF6E6778207D228F667047CCCB7A58C31EB2CE58FB979F14308429E"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Mansfield.zip","12943","1FB3F0B0B915F0A630E4C5241002285318596B9A8C94ABB7AF19ED6F0A2D3418"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Marshall 4x12.zip","444167","F05E535DB57D17D7CF26411377D8058396E0E15C582450500A1BB1C874448A30"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Marshall G15R.zip","90925","1BB1B05ECE25491812289C69543C30AD898A3CC0BCCD9EA42F67C805BA4D32E9"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Northbridge.zip","8522","9CE945B456335F77EE49B53A71EC487D73EDEB79B7F08CBD916C0E979A4187CC"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Oakdale.zip","15860","4B23EABDF990EA228DFA97B87725A5D523015FAE45CE6D6B60993A97AE82A3D5"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Oxford.zip","9475","404E4F1B422A1743DD14717E1F8EC976429BE6942CB2C1D0925296200EC7A30D"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\POD.zip","10828","A44FE17A94C6F0C66363C1A9BD2404BDD01E8E23ACF0AE0AE65F770280E0094B"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Rockport.zip","9805","B9D84403CACA8A3362E14D000B78148E81C9E955FB4529D82EC88ED64C861CEF"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Roslindale.zip","8493","275F15443420D69C913182870B35600ADABE34833E2C6813D5064271042296E7"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Rutland.zip","2167","AB4C45CEB70F56D80AC6E818AC55EE1AE411AA91514B045213321EB03EB03ADE"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Sterling.zip","6541","6A68F7F39262C3EB582319F2B9B983D5D3C6926F143EE4B2D7F17FCC04C694F9"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Supermart.zip","3463","80B874F9949025E94E1CD911FE82F63FD6BF9FB9EAB79E7A1A220F40C0825FD1"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Waltham.zip","8655","55A0BB3E122BBA1D013E371957933CD8B7C652B251362609E55672C330A6F97E"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Worcester.zip","21691","048E60DF0A2129C0F793FFB4BD0C16DF7F1296376E358D703DCF2461CB203B4F"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\ZETA IR PACK.zip","196588","FF2C76CFD62C4DD340D0B18C49AA8390F45D2795707FE721E56C935840E9013D"
"downloads\arquivos\Por modelo\Guitarra\Peavey\Peavey 4x10.zip","107484","F85B460851E4BF02892C379F611C0EC042F851666163402DF1BFD668A3AC37E0"
"downloads\arquivos\Por modelo\Guitarra\Randall\Randall Cabinet.zip","398961","09D572DE8D0FFAD9620F9A1F855079D121DE385E63E62A5A30EA94C0DDFBF9CD"
"downloads\arquivos\Por modelo\Guitarra\Soldano\4x12B.zip","186702","D2A6FA831F9469A022C40611D10BC2735EFF85CB9C2E0015C236DF90B8B5826F"
"downloads\arquivos\Por modelo\Guitarra\Vox\AC30 Bright Channel.zip","733542","66EC1CCFD05F7177186B572F8D60EEADAAC43A99EE2D03F0CA50E99C365A0D02"
"downloads\arquivos\Por modelo\Guitarra\Vox\AC30 Normal Channel.zip","1170455","EEE93AC2F105885E1DE9A9EA6891487BA89FF29505A0B8A693E6AF3BD4D7B45B"
"downloads\arquivos\Por modelo\Guitarra\Vox\AC30.zip","120197","4474F7027BC7C7D27CB133E1A889219F9AEC7DB97B7B98A8CEE020D521CD7595"
"downloads\arquivos\Por modelo\Violão\Alvarez\ABT-60 Baritone.zip","35335","6B2754DDEC0537AE6DC97252E1A99EBE2429C41842642D15932A55F4538694A2"
"downloads\arquivos\Por modelo\Violão\Coleção D-TAR\Acoustic Shapes.zip","97121","DB89B2C46C64453581AE6E7916505E7228692EEAD04D00EE58570F76CAB6D0F1"
"downloads\arquivos\Por modelo\Violão\Collings\D2H e OM2HA.zip","35792","BC9D8E9DF2FE9DF9CD5881CB1150239758870D8892A2AF21A15B902142D42B19"
"downloads\arquivos\Por modelo\Violão\Gibson\Hummingbird.zip","19263","51BCCAADB90019FCC7E8DFA83C06DA13D92ACA043CB88000BAD9A9542475129E"
"downloads\arquivos\Por modelo\Violão\Gibson\J-200 Jumbo.zip","173768","E2916D0092A3EF81C573BF83F66E43548E79E24B72CDB4EB75C9E78889DC45DC"
"downloads\arquivos\Por modelo\Violão\Gibson\J-45.zip","12169","D892BB9048A86040A9F72391BEF34035C66D588865C352B535CB4859377BA960"
"downloads\arquivos\Por modelo\Violão\Gibson\Wayne Benson Mandolin.zip","12537","8D7834B70DF36A0ED44AC3C5D8DC5C604C445B790E497F9C2C7AE0C545224235"
"downloads\arquivos\Por modelo\Violão\LAVA\LAVA Nylon.zip","68812","03EBCBE1F873076191BB4F570C3039F71B22C2376BC0302A4E078DF8E8A846C1"
"downloads\arquivos\Por modelo\Violão\Martin\HD-28.zip","21138","020BAB8192D74CD754B94A73136833EEA7256ABBF4A142EDAE9D4903AE59EF54"
"downloads\arquivos\Por modelo\Violão\Nylon\Violão clássico e Nylon Essentials.zip","19652","3DDA97C5A671DD5CB4EA92B0FC0B636B498BF2F96D326F42A8248876C21B1E6D"
"downloads\arquivos\Por modelo\Violão\Samick\JZ4.zip","288895","7DE6D44C1EFCA16518C087EA3D7F43034DB819E9982D21D7EB2C3B336A7C26C9"
"downloads\arquivos\Por modelo\Violão\Taylor\314ce.zip","24137","0DED0C1CC4E5B3E5D6D49C36340F90B8A6B20A1F2DFE10686A1517D82E2E5177"
"downloads\arquivos\Por modelo\Violão\Taylor\814.zip","15530","4E2C50C87D8180CCA33FCBFD3BEB4E58423CDAF78573F6C9ED028DEEB4380527"
"downloads\arquivos\Software M-VAVE\INSTRUCOES - Qual software usar.pdf","15194","34C691A221F67E164B9AD64CC03CE3E66083C9F985A722356625AA08A008DF63"
"downloads\arquivos\Software M-VAVE\LEIA-ME - BAIXAR SOFTWARE E ATUALIZACOES.txt","736","47BB6892F78B24E9CC6153347D3C4E0C1F35F3CAE93B15972F4E92419EEA7A03"
"downloads\arquivos\Software M-VAVE\Mac OS\ANNlab-V2.0-oficial.zip","54495859","A65CCCD91CFF7B5A93499F75E5F88AA5BCC75896288AFDF8351968F8AEF2EC4D"
"downloads\arquivos\Software M-VAVE\Mac OS\CubeSuite-oficial.dmg","22763381","E60998896A1D6D7AA3FB813EE522FFA6B1F12B6256F0439E131CE9DD1905CA46"
"downloads\arquivos\Software M-VAVE\Mac OS\LEIA-ME - macOS.txt","1103","A7C9BE0FD1A4107D0F8C258C0CFE672B3DFC3126010BA08609B8190154735792"
"downloads\arquivos\Software M-VAVE\Mac OS\M-EFCS - Mac App Store.webloc","274","5DA4D013C3E188E083B537B97F29A950003731E10B048CFD54C971A2D7056AC3"
"downloads\arquivos\Software M-VAVE\Mac OS\MidiSuite-latest-oficial.dmg","26483511","1A887E3466F8C9D9A6A12F9CB1B21F081739D3A2CBA9922BDD9BA5D54414066D"
"downloads\arquivos\Software M-VAVE\Mac OS\M-UPGRADE-oficial.dmg","58541828","47A08093B1398A781146169743431881D31BB808B1A63781C0D119FF840DBA32"
"downloads\arquivos\Software M-VAVE\Mac OS\SHA256SUMS.txt","539","0C3AED528F928E6D33F74E079B348E23B5FA72C032BA22811C4234080A753339"
"downloads\arquivos\Software M-VAVE\Windows\ANNlab-V2.0-oficial.zip","54495859","A65CCCD91CFF7B5A93499F75E5F88AA5BCC75896288AFDF8351968F8AEF2EC4D"
"downloads\arquivos\Software M-VAVE\Windows\CubeSuite-oficial.zip","14785970","D9A1ADD312AE3FA82F93FEFD32A723E541536DD7ED9B2434DB364FE8C5A17423"
"downloads\arquivos\Software M-VAVE\Windows\Fontes e Revisões.txt","158","F6C83E1E46F64A9A21E8294ADD1D2C94CAF5E411DFACEAF2D6DC2CB006211A09"
"downloads\arquivos\Software M-VAVE\Windows\MidiSuite-latest-oficial.zip","15892507","494EE5BF82B3D35656310BB046A9069D75293088EC62E502F74E3C8B167D9E0D"
"downloads\arquivos\Software M-VAVE\Windows\M-UPGRADE-oficial.zip","23596336","4065124E7488F397D7B3F9356D184CC5B1DD7C77EDE4F1338867EE31765FDB0A"
"downloads\arquivos\Software M-VAVE\Windows\Sinco-Connector-oficial.exe","2820323","41A774AD51F7C0FCD058A6D963C745FF26C645B87F4A25E765765A53B44B5EB0"
"downloads\baixo\index.html","1280","2068A9DFC4AF4E3980B07B43ED027246B10B90CA09BD9EDB1BAB81274A2E3CFD"
"downloads\completo\index.html","1291","9D45EEBC9F6C516E817A278824D742503860912719D6D1899EC99C7549649E80"
"downloads\guitarra\index.html","1292","CC5ABF77932C91FCAB02D5703561EE4BFAFF6864822792A35679EC7369B17F3E"
"downloads\violao\index.html","1287","DE075D162B8333D9188EA67AE128B90C711663A1145CE16CEDA2A3BBCF7C3724"
"guitar\index.html","5119","86EAF3D7D3810459DA6B557ADC9CC2DF8D3CB94E09EE44C917496A417EBAF8C9"
"guitarra\index.html","4489","3640CE4774DD8CFA34B6CA5E95F56CD3E0E9054BDB1F0C9679323AF8DC1998C5"
"index.html","4113","787F95DDD0E34F1E7C77EB785A9403607DCE4C97351DDD4C1CF0988585ED86C2"
"robots.txt","143","A6DDF5CDC45B6B144061DE018222E112E4659F3BB6AC540340069614B168804C"
"sitemap.xml","10009","A8EB470D3B8571B86469D3D77469F461009A1A9DC2FEFEE6414FFA7AA91C57E6"
"styles.css","134860","8C90B8B71FB142FA2AAE4C3DA3F75FD5E31BF823D31EC4B8DFACC3166D61148A"
"violao\index.html","5167","98DE104E4416CCE5B3FBE7D319F0E1ABB894B36A375BB5C88F7EF1E37B8134EC"
